round,average_score,average_distance,num_closer_than_average,winner,score,distance,lat,lng,description,silver,silver_score,silver_distance,silver_lat,silver_lng,silver_description,bronze,bronze_score,bronze_distance,bronze_lat,bronze_lng,bronze_description,loser,loser_score,loser_distance,loser_lat,loser_lng,loser_description
Egvekinot,6099.281771177118,5633360.234946048,525,Vladimir Putin,12987.2,51239.38977262786,66.03073100000012,-180.0,Westmost point 13,Donald Trump (without dependencies),11853.56,564171.8058225891,65.96529483812505,-166.58319227871144,"65.965295, -166.583192",Donald Trump,10844.54,578201.9383020637,63.07032503129075,-169.5993600518207,"63.070325, -169.59936",Lesotho,1150.15,15410981.946255175,-28.57080078099989,28.65136909500012,Northmost point
Tubou,5089.537909790979,9675444.292343274,519,Fiji,12999.2,3219.1252241665793,-18.217519278970283,-178.78932372216306,Eastern nearest point to boundary circular mean,Cascadia,11928.42,264501.71442591015,-17.787442,178.731328,,Steve Lira,10889.6,397832.3257257689,-17.711939,177.466887,,Burkina Faso,284.89,18874595.569346838,9.89244365800016,-4.967852114999925,Southwestmost point
Leava,5136.360561056105,9488036.882954836,528,Blinky,12999.73,1088.8835175604045,-14.283537863999868,-178.15842455849997,Wallis and Futuna: Singave centre of extremes,Fiji,11931.71,251305.30137794008,-15.709723,-179.981674,Northern northmost point 2,Tonga,10913.2,303386.54399144975,-15.601944999999889,-175.680283,Northwestmost point,Benin,223.91,19118733.325251397,6.234909500000072,1.630254100000059,Southmost point
Waitangi (Chatham Islands),4814.657172717271,10788980.117260827,476,Kiwi-Man (without Tokelau),12993.68,3260.0968769562683,-43.93624843691027,-176.5268357526546,Chatham Islands centroid,Kiwi-Man,12993.68,3260.0968769562683,-43.93624843691027,-176.5268357526546,Chatham Islands centroid,Piglee,11805.96,732657.6425599788,-39.50548,176.919685,,Andorra,58.23,19781931.923245803,42.44368359800006,1.444105879000063,Southwestmost point
Mua,5149.881617161716,9433911.12141704,528,Blinky,12998.66,5347.833749423415,-13.38611,-176.16806,Wallis and Futuna: Uvéa southeastmost point,Tonga,11930.94,254418.08488513654,-15.565796,-175.632324,Northmost point,Samoa,10897.46,366386.8008959793,-13.516286849999972,-172.80412292599993,Westmost point 2,Benin,206.23,19189495.485445358,6.234909500000072,1.630254100000059,Southmost point
Nuku‘alofa,5056.906336633663,9806068.855839422,520,Tonga,12999.29,2837.8222281971293,-21.154343768746656,-175.1812365126651,Tongatapu boundary circular mean,Fiji,11900.0,378263.530561411,-21.042499999999848,-178.84584,Southmost point,Niue,10840.55,594177.8706980599,-19.075000761999945,-169.95083618299992,Westmost point 1,Niger,311.88,18766553.461132783,13.710688591000121,13.634547235000184,Southeastmost point
'Ohonua,5054.588239823983,9815347.509342335,521,Tonga,12998.74,5056.337639501389,-21.384189670468533,-174.94018597017245,'Eua pole of inaccessibility,Fiji,11893.42,404578.6827464187,-21.042499999999848,-178.84584,Southmost point,Niue,10844.2,579587.3469742949,-19.135738818943807,-169.92246262575816,Southwestmost point,Niger,310.8,18770893.048816122,13.710688591000121,13.634547235000184,Southeastmost point
Fangale’ounga,5074.194433443345,9736864.24160011,527,Tonga,12997.76,8947.02564024624,-19.693611,-174.264725,Ha'apai eastmost point 1,Niue,11878.43,464613.70846592274,-19.075000761999945,-169.95083618299992,Westmost point 1,Fiji,10865.9,492727.36109121126,-21.042499999999848,-178.84584,Southmost point,Niger,270.02,18934151.310741924,13.710688591000121,13.634547235000184,Southeastmost point
Longomapu,5087.9164796479645,9681958.108701555,527,Tonga,12995.88,16512.16045915527,-18.629999,-173.901947,Vava'u eastmost point,Niue,11885.88,434793.78037436586,-19.074722288999908,-169.95083618299992,Westmost point 2,Fiji,10863.83,501005.22285808844,-18.217518562506637,-178.7859252977523,Eastern nearest point to centroid,Niger,267.41,18944588.50409364,20.348470687000088,15.995641709000154,Eastmost point
Neiafu,5087.900528052805,9682022.626543049,528,Tonga,12997.77,8921.255672844694,-18.629999,-173.901947,Vava'u eastmost point,Niue,11887.84,426925.4467414595,-19.074722288999908,-169.95083618299992,Westmost point 2,Fiji,10861.86,508875.2585857469,-18.217518562506637,-178.7859252977523,Eastern nearest point to centroid,Niger,265.46,18952411.27177873,20.348470687000088,15.995641709000154,Eastmost point
Hihifo,5121.163256325633,9548872.012490056,531,Tonga,12999.62,1505.8760416898954,-15.96334981159536,-173.78558867961746,Niuas pole of inaccessibility,Samoa,11925.8,274981.9996279564,-13.79585075299991,-172.5474700919999,Southwestmost point,whensley,10906.61,329771.03265903617,-14.046297,-171.445564,,Benin,297.3,18824951.459194828,6.234909500000072,1.630254100000059,Southmost point
Provideniya,6107.305775577558,5601240.338106239,515,Vladimir Putin,12992.97,28133.664379778842,64.65081643434618,-173.48189415041776,"64.650816, -173.481894",Donald Trump,11936.22,233277.1227120679,63.07032503129075,-169.5993600518207,"63.070325, -169.59936",Donald Trump (without dependencies),10900.56,353958.137434325,65.96529483812505,-166.58319227871144,"65.965295, -166.583192",Lesotho,1067.85,15740403.241232166,-28.57080078099989,28.65136909500012,Northmost point
Asau,5152.749889988999,9422430.86299641,530,Samoa,12998.99,4052.1686704860363,-13.552335596830407,-172.62130701731462,Vaisigano pole of inaccessibility,whensley,11959.16,141449.3852808497,-14.046297,-171.445564,,Donald Trump,10935.73,213206.782571138,-14.322719013999972,-170.84400164099998,American Samoa: Western westmost point,Benin,255.95,18990478.417039882,6.234909500000072,1.630254100000059,Southmost point
Atafu Village,5215.8908360836085,9169676.583804445,529,Kiwi-Man,12999.79,859.5125229242041,-8.536112,-172.520828,Tokelau: Anafu westmost point 1,Donald Trump,11914.6,319812.18667902384,-11.050890333834701,-171.08846804565744,American Samoa: Unorganized northwestmost point,Kiribati,10869.06,480072.72206756944,-4.697204,-174.493286,Southwestmost point,Benin,190.82,19251195.6680099,10.385092000000157,0.774345001000086,Westmost point
Matavai,5148.0434653465345,9441269.6638329,528,Samoa,12998.41,6353.6312699641285,-13.975368967315639,-171.64048104609256,Atua pole of inaccessibility,whensley,11989.03,21860.20340719722,-14.046297,-171.445564,,Donald Trump,10965.89,92473.9058070209,-14.322719013999972,-170.84400164099998,American Samoa: Western westmost point,Nigeria,278.15,18901583.515388347,4.270418000000177,6.086806000000138,Southmost point 1
Apia,5150.335247524752,9432096.814214258,529,Samoa,12998.77,4917.338344140611,-13.844165801999907,-171.722503662,Tuamasaga northeastmost point,whensley,11984.01,41971.33132667599,-14.046297,-171.445564,,Donald Trump,10960.65,113420.15140831134,-14.322719013999972,-170.84400164099998,American Samoa: Western westmost point,Nigeria,272.06,18925991.6671749,4.270418000000177,6.086806000000138,Southmost point 1
